INFO:tensorflow:loss = 0.499013, 27601, 0.859375 ,28.984 sec)
INFO:tensorflow:loss = 0.433278, 27701, 0.921875 ,29.520 sec)
INFO:tensorflow:loss = 0.384429, 27801, 0.9375 ,28.809 sec)
INFO:tensorflow:loss = 0.480233, 27901, 0.890625 ,29.588 sec)
INFO:tensorflow:loss = 0.466527, 28001, 0.914062 ,28.894 sec)
INFO:tensorflow:loss = 0.44414, 28101, 0.90625 ,29.357 sec)
INFO:tensorflow:loss = 0.570187, 28201, 0.875 ,29.081 sec)
INFO:tensorflow:loss = 0.459016, 28301, 0.898438 ,28.949 sec)
INFO:tensorflow:loss = 0.421198, 28401, 0.90625 ,29.164 sec)
INFO:tensorflow:loss = 0.441402, 28501, 0.898438 ,29.026 sec)
INFO:tensorflow:loss = 0.47446, 28601, 0.90625 ,29.460 sec)
INFO:tensorflow:loss = 0.479155, 28701, 0.90625 ,28.881 sec)
INFO:tensorflow:loss = 0.518255, 28801, 0.890625 ,30.298 sec)
INFO:tensorflow:loss = 0.34392, 28901, 0.976562 ,28.984 sec)
INFO:tensorflow:loss = 0.391239, 29001, 0.9375 ,28.866 sec)
INFO:tensorflow:loss = 0.373416, 29101, 0.953125 ,29.466 sec)
INFO:tensorflow:loss = 0.480077, 29201, 0.914062 ,28.871 sec)
INFO:tensorflow:loss = 0.425276, 29301, 0.945312 ,29.344 sec)
INFO:tensorflow:loss = 0.406256, 29401, 0.945312 ,28.982 sec)
INFO:tensorflow:loss = 0.521545, 29501, 0.90625 ,28.946 sec)
INFO:tensorflow:loss = 0.407692, 29601, 0.953125 ,29.231 sec)
INFO:tensorflow:loss = 0.400747, 29701, 0.929688 ,28.933 sec)
INFO:tensorflow:loss = 0.525728, 29801, 0.90625 ,29.360 sec)
INFO:tensorflow:loss = 0.363914, 29901, 0.960938 ,28.825 sec)
INFO:tensorflow:loss = 0.467278, 30001, 0.882812 ,29.003 sec)
INFO:tensorflow:loss = 0.425734, 30101, 0.9375 ,29.363 sec)
INFO:tensorflow:loss = 0.503772, 30201, 0.882812 ,29.003 sec)
INFO:tensorflow:loss = 0.500264, 30301, 0.882812 ,29.453 sec)
INFO:tensorflow:loss = 0.385003, 30401, 0.929688 ,28.908 sec)
INFO:tensorflow:loss = 0.45135, 30501, 0.90625 ,29.452 sec)
INFO:tensorflow:loss = 0.453514, 30601, 0.921875 ,28.830 sec)
INFO:tensorflow:loss = 0.449702, 30701, 0.9375 ,28.882 sec)
INFO:tensorflow:loss = 0.41151, 30801, 0.953125 ,29.477 sec)
INFO:tensorflow:loss = 0.403521, 30901, 0.929688 ,29.587 sec)
INFO:tensorflow:loss = 0.489511, 31001, 0.898438 ,29.485 sec)
INFO:tensorflow:loss = 0.406145, 31101, 0.945312 ,28.769 sec)
INFO:tensorflow:loss = 0.491592, 31201, 0.890625 ,29.192 sec)
INFO:tensorflow:loss = 0.4227, 31301, 0.929688 ,29.125 sec)
INFO:tensorflow:loss = 0.44724, 31401, 0.929688 ,28.951 sec)
INFO:tensorflow:loss = 0.464774, 31501, 0.914062 ,29.173 sec)
INFO:tensorflow:loss = 0.385489, 31601, 0.945312 ,28.809 sec)
INFO:tensorflow:loss = 0.336866, 31701, 0.976562 ,29.475 sec)
INFO:tensorflow:loss = 0.398905, 31801, 0.929688 ,28.857 sec)
INFO:tensorflow:loss = 0.470543, 31901, 0.90625 ,28.862 sec)
INFO:tensorflow:loss = 0.505737, 32001, 0.921875 ,29.297 sec)
INFO:tensorflow:loss = 0.522422, 32101, 0.882812 ,28.863 sec)
INFO:tensorflow:loss = 0.432354, 32201, 0.914062 ,29.237 sec)
INFO:tensorflow:loss = 0.419491, 32301, 0.921875 ,28.888 sec)
INFO:tensorflow:loss = 0.487478, 32401, 0.898438 ,29.053 sec)
INFO:tensorflow:loss = 0.453557, 32501, 0.929688 ,29.199 sec)
INFO:tensorflow:loss = 0.573646, 32601, 0.859375 ,28.793 sec)
INFO:tensorflow:loss = 0.407478, 32701, 0.929688 ,29.458 sec)
INFO:tensorflow:loss = 0.488759, 32801, 0.90625 ,28.844 sec)
INFO:tensorflow:loss = 0.416648, 32901, 0.953125 ,29.396 sec)
INFO:tensorflow:loss = 0.589788, 33001, 0.875 ,29.679 sec)
INFO:tensorflow:loss = 0.380342, 33101, 0.953125 ,28.892 sec)
INFO:tensorflow:loss = 0.459798, 33201, 0.914062 ,29.448 sec)
INFO:tensorflow:loss = 0.412931, 33301, 0.929688 ,28.900 sec)
INFO:tensorflow:loss = 0.493823, 33401, 0.914062 ,29.515 sec)
INFO:tensorflow:loss = 0.356354, 33501, 0.960938 ,28.872 sec)
INFO:tensorflow:loss = 0.391857, 33601, 0.9375 ,28.999 sec)
INFO:tensorflow:loss = 0.496787, 33701, 0.914062 ,29.002 sec)
INFO:tensorflow:loss = 0.511712, 33801, 0.898438 ,29.017 sec)
INFO:tensorflow:loss = 0.43303, 33901, 0.929688 ,29.229 sec)
INFO:tensorflow:loss = 0.392849, 34001, 0.945312 ,28.928 sec)
INFO:tensorflow:loss = 0.490328, 34101, 0.914062 ,29.408 sec)
INFO:tensorflow:loss = 0.371064, 34201, 0.945312 ,28.828 sec)
INFO:tensorflow:loss = 0.437764, 34301, 0.921875 ,28.807 sec)
INFO:tensorflow:loss = 0.500317, 34401, 0.875 ,29.354 sec)
INFO:tensorflow:loss = 0.544853, 34501, 0.90625 ,28.875 sec)
INFO:tensorflow:loss = 0.397897, 34601, 0.945312 ,29.352 sec)
INFO:tensorflow:loss = 0.485274, 34701, 0.90625 ,28.985 sec)
INFO:tensorflow:loss = 0.420614, 34801, 0.9375 ,29.115 sec)
INFO:tensorflow:loss = 0.461862, 34901, 0.890625 ,29.234 sec)
INFO:tensorflow:loss = 0.464613, 35001, 0.90625 ,29.711 sec)
INFO:tensorflow:loss = 0.502538, 35101, 0.90625 ,29.316 sec)
INFO:tensorflow:loss = 0.400341, 35201, 0.929688 ,28.846 sec)
INFO:tensorflow:loss = 0.467547, 35301, 0.914062 ,29.487 sec)
INFO:tensorflow:loss = 0.564681, 35401, 0.890625 ,28.943 sec)
INFO:tensorflow:loss = 0.454719, 35501, 0.921875 ,28.986 sec)
INFO:tensorflow:loss = 0.435094, 35601, 0.929688 ,29.404 sec)
INFO:tensorflow:loss = 0.426371, 35701, 0.921875 ,28.873 sec)
INFO:tensorflow:loss = 0.480835, 35801, 0.921875 ,29.344 sec)
